c,o,n,f,u,s,i,o,n,m,a,t,r,i,x
945,0,2,2,0,13,4,2,6,6
0,1114,1,1,0,3,4,1,10,1
8,61,740,110,7,21,21,8,36,20
6,1,15,886,3,51,3,13,4,28
5,1,10,2,636,0,12,7,13,296
10,2,3,35,11,739,11,6,28,47
13,4,8,1,3,33,885,0,3,8
1,11,18,15,4,1,1,807,5,165
10,25,6,99,20,64,10,5,560,175
5,3,1,8,4,5,0,8,6,969
t,r,a,i,n, ,a,c,c,u,r,a,c,y
0.8243,0.8444,0.8504,0.8512,0.8532,0.8542,0.8529,0.8569,0.856,0.8579,0.8558,0.8554,0.8585,0.8578,0.8585,0.8593,0.8583,0.858,0.8573,0.8592,0.8601,0.8596,0.8599,0.8591,0.8609,0.8603,0.8609,0.8602,0.861,0.8595,0.8608,0.8618,0.8602,0.8609,0.8606,0.8615,0.8615
t,e,s,t, ,a,c,c,u,r,a,c,y
0.8317,0.8458,0.8035,0.8224,0.8438,0.8452,0.844,0.8365,0.8142,0.8192,0.8283,0.8349,0.8664,0.8438,0.8249,0.8089,0.8492,0.8483,0.8543,0.8401,0.8297,0.8572,0.8109,0.8419,0.8382,0.8363,0.8417,0.7958,0.8436,0.8213,0.8381,0.8571,0.8468,0.8456,0.8475,0.8373,0.8281
