c,o,n,f,u,s,i,o,n,m,a,t,r,i,x
932,0,5,2,0,6,15,3,16,1
0,1103,2,2,0,2,4,1,21,0
7,35,731,97,3,16,36,12,91,4
5,2,14,885,0,37,6,19,26,16
2,5,12,2,696,1,31,7,38,188
8,2,11,42,7,651,32,17,92,30
5,3,1,1,1,17,918,2,10,0
1,11,18,9,5,1,1,858,32,92
5,24,14,25,10,20,18,3,811,44
5,7,3,10,5,2,2,31,17,927
t,r,a,i,n, ,a,c,c,u,r,a,c,y
0.8249,0.8467,0.851,0.8512,0.8524,0.8536,0.8539,0.8562,0.8567,0.857,0.8562,0.8567,0.8575,0.857,0.8573,0.8589,0.8567,0.8595,0.8603,0.8595,0.8582,0.8611,0.8609,0.8609
t,e,s,t, ,a,c,c,u,r,a,c,y
0.8292,0.81,0.7903,0.847,0.824,0.8423,0.8243,0.8489,0.8276,0.8223,0.8189,0.7807,0.8421,0.8407,0.8387,0.7852,0.8301,0.8632,0.8304,0.8308,0.8462,0.841,0.8477,0.8512
